"Entity","Attribute","Classword_Type","Teradata_Type","PK","Required","Description","Parent_Entity"
"ASSET_RISK_GRADE_RELATED","Asset_Risk_Override_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party that permitted the override.",""
"ASSET_RISK_GRADE_RELATED","Risk_Assess_Override_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","This code contains the reason why one risk assessment overrides another risk assessment.  Example: - Human judgment override automated model",""
"ASSET_RISK_GRADE_RELATED","Asset_Risk_Override_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date when this override is no longer effective for this party asset.",""
"ASSET_ROLE_TYPE","Asset_Role_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the role that the party has with the asset such as owner, co-owner, beneficiary, and insures.",""
"ASSET_ROLE_TYPE","Asset_Role_Desc","Classword_Description","VARCHAR(500)","","N","The description of the role that the party has with the asset such as owner, co-owner, and beneficiary.",""
"ASSET_SCORE","Party_Asset_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for an asset held by a party.",""
"ASSET_SCORE","Analytical_Model_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an instance of the ANALYTICAL MODEL entity.",""
"ASSET_SCORE","Model_Run_Id","Classword_Identifier","BIGINT","Y","Y","An identifier that uniquely describes the particular run of the ANALYTICAL MODEL.",""
"ASSET_SCORE","Asset_Score_Val","Classword_Value","DECIMAL(18,4)","","N","The actual value of the score such as degree of liquidity or risk.",""
"ASSET_USE_TYPE","Asset_Use_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unique code for describing the use of the asset, such as business use, private use, combined private use and rented out, rally, second car, and home-office.",""
"ASSET_USE_TYPE","Asset_Use_Desc","Classword_Description","VARCHAR(500)","","N","The description for the use.",""
"ASSET_VALUATION_AMOUNT_TYPE","Asset_Valuation_Amount_Cd","Classword_Code","VARCHAR(50)","Y","Y","Code for the various amounts related to this valuation event. Value types include: - Valuation amount - Market value - List price - Selling price - Value prior to adjustments for Basel II - Value after adjustments (haircuts) for Basel II",""
"ASSET_VALUATION_AMOUNT_TYPE","Asset_Valuation_Amount_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ASSET_VALUATION_METHOD_TYPE","Asset_Valuation_Method_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the method used to value this asset such as: - Basel II calculation rules - Fair market value - Blue Book - Geographic index",""
"ASSET_VALUATION_METHOD_TYPE","Asset_Valuation_Method_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ASSET_VALUATION_PURPOSE_TYPE","Asset_Valuation_Purpose_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that describes why this valuation was done such as: - Required for risk management regulatory capital calculations - Appraisal - Unofficial estimation",""
"ASSET_VALUATION_PURPOSE_TYPE","Asset_Valuation_Purpose_Desc","Classword_Description","VARCHAR(500)","","N","A description of the code.",""
"ASSET_VALUE","Party_Asset_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for an asset held by a party.",""
"ASSET_VALUE","Asset_Valuation_Amount_Cd","Classword_Code","VARCHAR(50)","Y","Y","Code for the various amounts related to this valuation event. Value types include: - Valuation amount - Market value - List price - Selling price - Value prior to adjustments for Basel II - Value after adjustments (haircuts) for Basel II",""
"ASSET_VALUE","Asset_Value_Start_Dt","Classword_Date","DATE","Y","Y","The date the asset was valued at this amount.",""
"ASSET_VALUE","Asset_Value_End_Dt","Classword_Date","DATE","","N","The date this asset ceased having this value.",""
"ASSET_VALUE","Evaluator_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for any individual or group of individuals that is of interest to the enterprise. This is the party that performed the valuation of the asset.",""
"ASSET_VALUE","Asset_Value_Amt","Classword_Amount","DECIMAL(18,4)","","N","The value of the asset for this value type.  In the currency of the books.",""
"ASSET_VALUE","Asset_Currency_Asset_Value_Amt","Classword_Amount","DECIMAL(18,4)","","N","The value of the asset in the currency of the asset if the asset is cash based.",""
"ASSET_VALUE","Asset_Valuation_Method_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the method used to value this asset such as: - Basel II calculation rules - Fair market value - Blue Book - Geographic index",""
"ASSET_VALUE","Asset_Valuation_Purpose_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that describes why this valuation was done such as: - Required for risk management regulatory capital calculations - Appraisal - Unofficial estimation",""
"ASSET_VALUE","Inspection_Dt","Classword_Date","DATE","","N","The date the goods finished being inspected.",""
"ASSET_VALUE","Currency_Cd","Classword_Code","VARCHAR(50)","","N","The code for the currency.  Examples: - U.S. dollars - Canadian dollars - Japanese yen",""
"ASSET_VALUE","Data_Source_Type_Cd","Classword_Code","VARCHAR(50)","","N","A code for the source of information for a data element. Many demographics and psychographics are acquired from third parties, such as Acxiom, Census Bureau, and Claritas.  They may also originate internally from loan applications or insurance claims. Scores come from statistical models. In this context, this is the source of the valuation information.",""
"ASSET_VALUE","Economic_Measure_Type_Cd","Classword_Code","VARCHAR(50)","","N","A code for the type of measurement for this geographic area.  Examples: - Unemployment rate - Inflation rate - Housing price index rate - Consumer price index rate  If the valuation method was not using an index to determine the value then this will be null.",""
"ASSOCIATE","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.","INDIVIDUAL"
"ASSOCIATE","Primary_Site_Id","Classword_Identifier","BIGINT","","N","The identifier for the site. A site is a physical or electronic place or facility used in the course of business including building structure, storage bin, area within a structure, stores, branches, offices, and web store or site.  The associate's primary location of work.","INDIVIDUAL"
"ASSOCIATE","Associate_Human_Resource_Num","Classword_Number","VARCHAR(50)","","N","The number that was assigned to the ASSOCIATE by the enterprise's HR department.","INDIVIDUAL"
"ASSOCIATE_BENEFICIARY","Beneficiary_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this case, the identifier of a beneficiary contact.",""
"ASSOCIATE_BENEFICIARY","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_BENEFICIARY","Benefit_Plan_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a BENEFIT PLAN.",""
"ASSOCIATE_BENEFICIARY","Benefit_Plan_Option_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a BENEFIT PLAN OPTION.",""
"ASSOCIATE_BENEFICIARY","Associate_Benefit_Period_Start_Dt","Classword_Date","DATE","Y","Y","Indicates the date when the employee benefit plan enrollment started.",""
"ASSOCIATE_BENEFICIARY","Associate_Beneficiary_Sequence_Num","Classword_Number","VARCHAR(50)","Y","Y","The sequence number indicates the order in which a designated beneficiary is paid. For example, the primary beneficiary is paid first unless the beneficiary does not meet certain qualifications. When the primary beneficiary is not qualified, then benefits pass to a contingent beneficiary.",""
"ASSOCIATE_BENEFICIARY","Beneficiary_Designated_Pct","Classword_Percent","DECIMAL(7,4)","","N","When an associate splits benefit payments between two or more beneficiaries, the designated percent indicates the ratio basis for dividing the amounts.",""
"ASSOCIATE_BENEFICIARY","Beneficiary_Relationship_Type_Cd","Classword_Code","VARCHAR(50)","","N","The code for the ASSOCIATE RELATIONSHIP TYPE. Common relationship types include parent, spouse, and child.",""
"ASSOCIATE_BENEFIT_PLAN","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_BENEFIT_PLAN","Benefit_Plan_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a BENEFIT PLAN.",""
"ASSOCIATE_BENEFIT_PLAN","Benefit_Plan_Option_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a BENEFIT PLAN OPTION.",""
"ASSOCIATE_BENEFIT_PLAN","Associate_Benefit_Period_Start_Dt","Classword_Date","DATE","Y","Y","Indicates the date when the employee benefit plan enrollment started.",""
"ASSOCIATE_BENEFIT_PLAN","Associate_Benefit_Period_End_Dt","Classword_Date","DATE","","N","Indicates the date when the employee benefit plan enrollment ended.",""
"ASSOCIATE_CONTACT","Associate_Contact_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this case, the person or persons related to an ASSOCIATE and designated for contact purposes.",""
"ASSOCIATE_CONTACT","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_CONTACT","Associate_Contact_Sequence_Num","Classword_Number","VARCHAR(50)","","N","A sequential number used to designate the order in which to communicate with an ASSOCIATE. Usually, one contact will be designated as the primary.",""
"ASSOCIATE_CONTACT","Associate_Relationship_Type_Cd","Classword_Code","VARCHAR(50)","","N","The code for the ASSOCIATE RELATIONSHIP TYPE. Common relationship types include parent, spouse, and child.",""
"ASSOCIATE_DEDUCTION","Associate_Deduction_Subtype_Cd","Classword_Code","VARCHAR(50)","","N","The code assigned to the ASSOCIATE DEDUCTION SUBTYPE.  Examples of deduction types include taxes, associate portion of benefit costs, and voluntary savings plans.","ASSOCIATE_PAYROLL_TRANSACTION"
"ASSOCIATE_DEDUCTION_SUBTYPE","Associate_Deduction_Subtype_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code assigned to the ASSOCIATE DEDUCTION SUBTYPE.  Examples of deduction types include taxes, associate portion of benefit costs, and voluntary savings plans.",""
"ASSOCIATE_DEDUCTION_SUBTYPE","Associate_Deduction_Subtype_Desc","Classword_Description","VARCHAR(500)","","N","The text description of an ASSOCIATE DEDUCTION SUBTYPE.",""
"ASSOCIATE_EMPLOYMENT","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_EMPLOYMENT","Organization_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an organization.  In this context, this is the party that employs the associate.",""
"ASSOCIATE_EMPLOYMENT","Associate_Employment_Start_Dt","Classword_Date","DATE","Y","Y","The date on which an ASSOCIATE's employment started. Indicates first day of work.",""
"ASSOCIATE_EMPLOYMENT","Associate_Employment_End_Dt","Classword_Date","DATE","","N","The date on which an ASSOCIATE's employment ended. Indicates the last day of work.",""
"ASSOCIATE_EMPLOYMENT","Associate_Hire_Dt","Classword_Date","DATE","","N","The date on which an ASSOCIATE was hired.",""
"ASSOCIATE_EMPLOYMENT","Associate_Termination_Dttm","Classword_Datetime","TIMESTAMP","","N","The date and time on which an ASSOCIATE was terminated from their employment. The last day of work may be different than the last day of employment, for example, if vacation days are used as final days of employment.",""
"ASSOCIATE_EMPLOYMENT","Associate_HR_Num","Classword_Number","VARCHAR(50)","","N","The associate number that was assigned to an ASSOCIATE usually by the enterprise's HR department.",""
"ASSOCIATE_EMPLOYMENT_BASIS","Employment_Basis_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that describes the types of employment agreements such as full-time employee, part-time employee, and contractor.",""
"ASSOCIATE_EMPLOYMENT_BASIS","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_EMPLOYMENT_BASIS","Employment_Basis_Start_Dt","Classword_Date","DATE","Y","Y","The date when this associate started this work hour basis.",""
"ASSOCIATE_EMPLOYMENT_BASIS","Employment_Basis_End_Dt","Classword_Date","DATE","Y","Y","The date when this associate ended this work hour basis.",""
"ASSOCIATE_FUNCTION","Function_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the function that an organization work group can perform. Examples for general function would be, identifies market, conducts survey, prices product, and creates marketing material. For insurance, functions would be underwriting, claim processing, or adjudication.",""
"ASSOCIATE_FUNCTION","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_FUNCTION","Associate_Function_Start_Dt","Classword_Date","DATE","Y","Y","The start date of the period in which the associate performed the function.",""
"ASSOCIATE_FUNCTION","Associate_Function_End_Dt","Classword_Date","DATE","","N","The end date of the period in which the associate performed the function.",""
"ASSOCIATE_JOB_CLASSIFICATION","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_JOB_CLASSIFICATION","Job_Classification_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the job. Examples would be teller, customer service rep, branch manager, senior VP, marketing analyst, and product manager.",""
"ASSOCIATE_JOB_CLASSIFICATION","Associate_Job_Classification_Start_Dt","Classword_Date","DATE","Y","Y","This is the start date of the classification.",""
"ASSOCIATE_JOB_CLASSIFICATION","Associate_Job_Classification_End_Dt","Classword_Date","DATE","","N","This is the end date of the classification.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Site_Id","Classword_Identifier","BIGINT","Y","Y","The identifier for the site. A site is a physical or electronic place or facility used in the course of business including building structure, storage bin, area within a structure, stores, branches, offices, and web store or site.  In this context, it is an identifier for the SITE that has a LABOR POOL.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.  In this case, an ASSOCIATE that is part of the LABOR POOL at a SITE.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Labor_Pool_Start_Dt","Classword_Date","DATE","Y","Y","The start date when an ASSOCIATE is available at a SITE as a LABOR POOL resource.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Work_Shift_Cd","Classword_Code","VARCHAR(50)","Y","Y","Uniquely identifies a WORK SHIFT TYPE.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Job_Classification_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the job. Examples would be teller, customer service rep, branch manager, senior VP, marketing analyst, and product manager.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Labor_Dt","Classword_Date","DATE","Y","Y","The date on which labor is performed.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Associate_Job_Actual_Hours_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The number of regular (nonovertime) hours the associate worked.",""
"ASSOCIATE_JOB_CLASSIFICATION_LABOR_ACTUAL","Associate_Job_Actual_Overtime_Hours_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The number of overtime hours the associate worked.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Site_Id","Classword_Identifier","BIGINT","Y","Y","The identifier for the site. A site is a physical or electronic place or facility used in the course of business including building structure, storage bin, area within a structure, stores, branches, offices, and web store or site.  In this context, it is an identifier for the SITE that has a LABOR POOL.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Work_Shift_Cd","Classword_Code","VARCHAR(50)","Y","Y","Uniquely identifies a WORK SHIFT TYPE.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Job_Classification_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the job. Examples would be teller, customer service rep, branch manager, senior VP, marketing analyst, and product manager.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Labor_Dt","Classword_Date","DATE","Y","Y","The date on which labor is to be scheduled.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.  In this case, an ASSOCIATE that is part of the LABOR POOL at a SITE.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Labor_Pool_Start_Dt","Classword_Date","DATE","Y","Y","The start date when an ASSOCIATE is available at a SITE as a LABOR POOL resource.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Associate_Job_Scheduled_Hours_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The number of nonovertime hours the ASSOCIATE is scheduled to work.",""
"ASSOCIATE_JOB_CLASSIFICATION_SHIFT_SCHEDULE","Associate_Job_Scheduled_Overtime_Hours_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The number of overtime hours the ASSOCIATE is scheduled to work.",""
"ASSOCIATE_LABOR_TASK","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Type_Id","Classword_Identifier","BIGINT","Y","Y","Uniquely identifies a labor task type.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","The date and time of the start of the task.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_End_Dttm","Classword_Datetime","TIMESTAMP","","N","The date and time of the end of the task.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Name","Classword_Name","VARCHAR(100)","","N","The name of the LABOR TASK.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Desc","Classword_Description","VARCHAR(500)","","N","A description of the ASSOCIATE LABOR TASK.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Time_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The actual amount of time applied.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Time_Cost_Amt","Classword_Amount","DECIMAL(18,4)","","N","Cost of the labor by time.",""
"ASSOCIATE_LABOR_TASK","Organization_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for an organization.",""
"ASSOCIATE_LABOR_TASK","Project_Id","Classword_Identifier","BIGINT","","N","The unique identifier for the PROJECT.",""
"ASSOCIATE_LABOR_TASK","Project_Task_Id","Classword_Identifier","BIGINT","","N","The unique identifier assigned to a TASK.",""
"ASSOCIATE_LABOR_TASK","Labor_Task_Quantity_UOM_Cd","Classword_Code","VARCHAR(50)","","N","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples: - For volume: milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: square inch, acre, and square kilometer - For units: each, carton, byte, and piece - For connect speed: kilobits/second - For loyalty units: points, miles, and kilomete",""
"ASSOCIATE_LABOR_TASK","Site_Id","Classword_Identifier","BIGINT","","N","The identifier for the site. A site is a physical or electronic place or facility used in the course of business including building structure, storage bin, area within a structure, stores, branches, offices, and web store or site.",""
"ASSOCIATE_LEAVE_EARNED","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_LEAVE_EARNED","Internal_Organization_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an organization that is internal to your institution.  This is the internal organization as recognized by the human resources department.",""
"ASSOCIATE_LEAVE_EARNED","Associate_Leave_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the ASSOCIATE LEAVE TYPE.  Examples are sick leave, vacation, floating holiday, military leave, and workers' compensation.",""
"ASSOCIATE_LEAVE_EARNED","Associate_Leave_Earned_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","Indicates the date when the associate started to accumulate leave.",""
"ASSOCIATE_LEAVE_EARNED","Associate_Leave_Earned_End_Dttm","Classword_Datetime","TIMESTAMP","","N","Indicates the date when the associate leave accumulation ended.",""
"ASSOCIATE_LEAVE_EARNED","Associate_Leave_Earned_Qty","Classword_Quantity","DECIMAL(18,4)","","N","Indicates the quantity or rate at which the associate accumulates leave.",""
"ASSOCIATE_LEAVE_EARNED","Associate_Leave_Earned_UOM_Cd","Classword_Code","VARCHAR(50)","","N","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples: - For volume: milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: square inch, acre, and square kilometer - For units: each, carton, byte, and piece - For connect speed: kilobits/second - For loyalty units: points, miles, and kilomete",""
"ASSOCIATE_LEAVE_PLAN","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_LEAVE_PLAN","Associate_Leave_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the ASSOCIATE LEAVE TYPE.  Examples are sick leave, vacation, floating holiday, military leave, and workers' compensation.",""
"ASSOCIATE_LEAVE_PLAN","Associate_Leave_Plan_Start_Dt","Classword_Date","DATE","Y","Y","The date when the planned leave starts.",""
"ASSOCIATE_LEAVE_PLAN","Associate_Leave_Plan_End_Dt","Classword_Date","DATE","","N","The date the planned leave ends.",""
"ASSOCIATE_LEAVE_PLAN","Associate_Planned_Leave_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The number of units of time to be taken (e.g., 3 days, or 4 hours). The unit of measure (hours or days) is in the unit of measure attribute in this entity.",""
"ASSOCIATE_LEAVE_PLAN","Unit_Of_Measure_Cd","Classword_Code","VARCHAR(50)","","N","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples: - For volume: milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: square inch, acre, and square kilometer - For units: each, carton, byte, and piece - For connect speed: kilobits/second - For loyalty units: points, miles, and kilomete",""
"ASSOCIATE_LEAVE_PLAN","Associate_Leave_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that specifies the reason for the associate leave.  Examples: - Pregnancy - Marriage - Sickness",""
"ASSOCIATE_LEAVE_REASON","Associate_Leave_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that specifies the reason for the associate leave.  Examples: - Pregnancy - Marriage - Sickness",""
"ASSOCIATE_LEAVE_REASON","Associate_Leave_Reason_Desc","Classword_Description","VARCHAR(500)","","N","A text description of the reason.",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Leave_Start_Dttm","Classword_Datetime","TIMESTAMP","Y","Y","Indicates the date when the associate's leave started.",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Leave_End_Dttm","Classword_Datetime","TIMESTAMP","","N","Indicates the date when the associate's leave ended.",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Leave_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The quantity of leave taken by an associate. In combination with the unit of measure, quantity may be recorded in days or hours.",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Leave_UOM_Cd","Classword_Code","VARCHAR(50)","Y","Y","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples: - For volume: milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: square inch, acre, and square kilometer - For units: each, carton, byte, and piece - For connect speed: kilobits/second - For loyalty units: points, miles, and kilomete",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Leave_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the ASSOCIATE LEAVE TYPE.  Examples are sick leave, vacation, floating holiday, military leave, and workers' compensation.",""
"ASSOCIATE_LEAVE_TAKEN","Associate_Leave_Reason_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code that specifies the reason for the associate leave.  Examples: - Pregnancy - Marriage - Sickness",""
"ASSOCIATE_LEAVE_TAKEN","Payroll_Register_Id","Classword_Identifier","BIGINT","","N","A unique identifier for a PAYROLL REGISTER.",""
"ASSOCIATE_LEAVE_TYPE","Associate_Leave_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","The code for the ASSOCIATE LEAVE TYPE.  Examples are sick leave, vacation, floating holiday, military leave, and workers' compensation.",""
"ASSOCIATE_LEAVE_TYPE","Associate_Leave_Type_Desc","Classword_Description","VARCHAR(500)","","N","The description for the ASSOCIATE LEAVE TYPE.",""
"ASSOCIATE_ORGANIZATION_POSITION","Associate_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an individual who is, was, or will be an associate of your enterprise.  In this context, it is the associate assigned to the HR POSITION.",""
"ASSOCIATE_ORGANIZATION_POSITION","Internal_Organization_Party_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for an organization that is internal to your institution.  This is the internal organization as recognized by the human resources department.",""
"ASSOCIATE_ORGANIZATION_POSITION","Position_Grade_Start_Dt","Classword_Date","DATE","Y","Y","The date this position grade was assigned to an HR POSITION.",""
"ASSOCIATE_ORGANIZATION_POSITION","HR_Position_Id","Classword_Identifier","BIGINT","Y","Y","The code assigned to a job that can be filled by an ASSOCIATE.",""
"ASSOCIATE_ORGANIZATION_POSITION","Position_Grade_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","As part of a job evaluation and compensation system, POSITION GRADE is assigned to a position based on job evaluation factors such as functional knowledge and business expertise. Grade levels rank positions or jobs based on value to the employer as defined by job scope and responsibilities.  Examples: - Trainee - Senior - Grade 4",""
"ASSOCIATE_ORGANIZATION_POSITION","Organization_Position_Start_Dt","Classword_Date","DATE","Y","Y","The date on which an associate's relationship begins with an organization for a given position.",""
"ASSOCIATE_ORGANIZATION_POSITION","Associate_Organization_Position_Start_Dt","Classword_Date","DATE","Y","Y","This is the date this associate started with this position for this organization.",""
"ASSOCIATE_ORGANIZATION_POSITION","Managing_Party_Id","Classword_Identifier","BIGINT","","N","The unique identifier for an individual who is, was, or will be an associate of your enterprise.  In this case, it is the associate's manager.",""
"ASSOCIATE_ORGANIZATION_POSITION","Associate_Primary_Position_Ind","Classword_Indicator","CHAR(1)","","N","An indicator that identifies whether this ASSOCIATE ORGANIZATION POSITION is an ASSOCIATE's primary HR POSITION.",""
"ASSOCIATE_ORGANIZATION_POSITION","Associate_Organization_Position_End_Dt","Classword_Date","DATE","","N","This is the date this associate ended with this position for this organization.",""
"ASSOCIATE_PAYROLL_TRANSACTION","Associate_Payroll_Transaction_Id","Classword_Identifier","BIGINT","Y","Y","A number representing a unique identifier for an ASSOCIATE PAYROLL TRANSACTION line.",""
"ASSOCIATE_PAYROLL_TRANSACTION","Payroll_Register_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for a PAYROLL REGISTER.",""
"ASSOCIATE_PAYROLL_TRANSACTION","Associate_Payroll_Transaction_Dttm","Classword_Datetime","TIMESTAMP","","N","The date and time of a payroll transaction for an associate.",""
"ASSOCIATE_PAYROLL_TRANSACTION","Associate_Payroll_Transaction_Amt","Classword_Amount","DECIMAL(18,4)","","N","The monetary amount of the payroll transaction for an associate.  The amount type would be specified by subtype discriminators, for example, an ASSOCIATE PAYROLL TRANSACTION that is a deduction: - Payroll Transaction Subtype Cd = Associate Deduction - Associate Deduction Subtype Cd = Withholding Tax - Withholding Tax Subtype Cd = State Tax - Tax Authority Party Id = California Tax Authority",""
"ASSOCIATE_PAYROLL_TRANSACTION","Associate_Payroll_Transaction_Qty","Classword_Quantity","DECIMAL(18,4)","","N","The quantity related to the transaction amount for an associate. For example, 40 hours could be associated with an associate's weekly payroll amount.",""
"ASSOCIATE_PAYROLL_TRANSACTION","Transaction_Quantity_UOM_Cd","Classword_Code","VARCHAR(50)","","N","The code assigned to a unit of measure.  In this context, it is the unit of measure for the Associate Payroll Transaction Qty, for example, hours for a quantity of 40.",""
