Rank,BVF_Data_Requirement,FSDM_Subject_Area,Priority_Score,Profitability_Cap_Count,Total_Cap_Count,Avg_Reuse_Coeff,Star_Schema_Coverage,FSDM_Entity_Count,Implementation_Tier
55,Physical Asset Valuations,Party Asset,44.0,6,50,0.4988,0,30,Tier 3 (Nice to Have)
56,Customer interview / fact find,Event or Cross Subject - Document,43.96,6,50,0.4783,0,30,Tier 3 (Nice to Have)
57,Internal Process Activity Data,Event,43.42,7,43,0.4603,0,30,Tier 3 (Nice to Have)
58,Online Interactions prospect / unidentified customer (web log),Event,42.93,7,42,0.4666,0,30,Tier 3 (Nice to Have)
59,Master & Reference Data - merchant / transaction,Event,41.95,8,34,0.4765,0,30,Tier 3 (Nice to Have)
60,Cashflow Projections,Agreement,41.47,8,33,0.484,0,18,Tier 3 (Nice to Have)
61,Online Interactions colleague intranet,Event,41.42,7,39,0.4602,0,30,Tier 3 (Nice to Have)
62,Online Interactions off-site - ad server,Event,39.93,6,42,0.4635,0,30,Tier 3 (Nice to Have)
63,External Data - market interest rates,Product,39.51,7,35,0.503,0,30,Tier 3 (Nice to Have)
64,Predictive Models - propensity to buy,Party or Agreement,39.43,6,41,0.4625,0,18,Tier 3 (Nice to Have)
65,Predictive Models - price elasticity,Party or Agreement,39.43,6,41,0.4625,0,24,Tier 3 (Nice to Have)
66,Predictive Models - attrition,Party or Agreement,38.92,6,40,0.4617,0,18,Tier 3 (Nice to Have)
67,Legal Actions,Party,38.47,5,45,0.4865,0,30,Tier 3 (Nice to Have)
68,"Product Revenue, Cost & Margin",Product,38.42,7,33,0.4599,0,25,Tier 3 (Nice to Have)
69,Master & Reference Data - Campaign,Campaign,37.42,5,43,0.4598,0,30,Tier 3 (Nice to Have)
70,Customer Quotes,Agreement,36.92,5,42,0.4593,0,25,Tier 3 (Nice to Have)
71,Customer Illustrations,Agreement,36.42,5,41,0.459,0,25,Tier 3 (Nice to Have)
72,Master & Reference Data - staff / colleague,Party,35.93,5,40,0.4631,0,30,Tier 3 (Nice to Have)
73,Campaign History Data,Campaign,35.91,6,34,0.4564,0,30,Tier 3 (Nice to Have)
74,"Model Metadata (E.g. defintion, assumptions, metrics)",Analytical Model,35.48,4,45,0.4909,0,30,Tier 3 (Nice to Have)
75,Customer Satisfaction Measurement (E.g. NPS),Party,35.44,3,51,0.4705,0,30,Tier 3 (Nice to Have)
76,Master & Reference Data - Risk Policy Rules,Cross Subject - Document,34.49,3,49,0.4956,0,30,Tier 3 (Nice to Have)
77,External Data - Credit Rating,Party,32.99,3,46,0.4936,0,21,Tier 3 (Nice to Have)
78,Risk Scenario & Stress Testing Results,Analytical Model,32.97,3,46,0.4866,0,30,Tier 3 (Nice to Have)
79,Attribution Models - response,Party or Agreement,32.42,4,39,0.4592,0,30,Tier 3 (Nice to Have)
80,Customer Contact Preferences,Party,31.95,1,56,0.4738,0,30,Tier 3 (Nice to Have)
81,External Data - Bureau data,Party,30.99,3,42,0.4951,0,10,Tier 4 (Future)
82,"Finance Systems - Budgets, Plans & Forecasts",Finance,30.45,6,23,0.476,0,25,Tier 4 (Future)
83,"Sales and Performance Forecasts, Targets & KPIs",Party,30.41,3,41,0.4537,0,30,Tier 4 (Future)
84,Customer Attitudinal Data,Party,29.94,2,46,0.4714,0,19,Tier 4 (Future)
85,Customer Marketing Preferences,Party,28.94,0,56,0.4707,0,21,Tier 4 (Future)
86,Product NPV's,Product,28.91,4,32,0.4547,0,2,Tier 4 (Future)
87,Economic Forecast Data,Party,26.93,4,28,0.4658,0,20,Tier 4 (Future)
88,External Data - Social Media Data,Party,26.45,2,39,0.4738,0,30,Tier 4 (Future)
89,Campaign Production Costs,Campaign,24.87,5,18,0.4345,0,30,Tier 4 (Future)
90,HR Performance Data,Party,23.9,3,28,0.4477,0,29,Tier 4 (Future)
