Theme,Capability,Sub_Capability,Data_Requirement,FSDM_Subject_Area,FSDM_Entities
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC; PERFORMANCE_TARGET; ORGANIZATION_PERFORMANCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,HR Performance Data,Party,ASSOCIATE; ASSOCIATE_PERFORMANCE_REVIEW; ASSOCIATE_ASSIGNMENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Customer Core Contact Details,Location,PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS; TELEPHONE_NUMBER
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Master & Reference Data - product,Product,Not mapped
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Product Revenue, Cost & Margin",Product,PRODUCT; PRODUCT_PRICING; PRODUCT_COST; AGREEMENT_SUMMARY
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Product NPV's,Product,PRODUCT; PRODUCT_VALUATION; AGREEMENT_SUMMARY
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account Terms & Conditions,Agreement,AGREEMENT; AGREEMENT_CONDITION; AGREEMENT_TERM
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account Feature Usage,Agreement,AGREEMENT_FEATURE; FEATURE; DESCRIPTIVE_FEATURE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Application Data (New Customer, New Product)",Agreement,APPLICATION; APPLICATION_STATUS; APPLICATION_PARTY_ROLE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Account Repayment Schedules,Agreement,AGREEMENT_REPAYMENT_SCHEDULE; LOAN_TERM_AGREEMENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Profitability Results,Agreement,AGREEMENT_SUMMARY; AGREEMENT_PROFITABILITY; PRODUCT_PROFITABILITY
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Predictive Models - propensity to buy,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Predictive Models - attrition,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Predictive Models - price elasticity,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Predictive Models - risk,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_LIABILITY_CREDIT_RATING
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Risk Segments, Cohorts & Groupings",Party or Agreement,PARTY_CLASSIFICATION; RISK_GRADE_VALUE; RISK_GRADE_SCHEME
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Provisions, Losses & Writeoffs",Party or Agreement,AGREEMENT_RISK_METRIC; PROVISION; WRITE_OFF; LOSS_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Service Usage,Event,CHANNEL_USAGE_METRIC; SERVICE_USAGE_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Complaint Data,Event,COMPLAINT; COMPLAINT_STATUS; COMPLAINT_RESOLUTION
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION; INTERNAL_ORGANIZATION_UNIT; ORGANIZATION_UNIT_RELATIONSHIP; ORGANIZATION_BUSINESS_TYPE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Operational metrics (E.g. Wait times, queue length)",Internal Organisation,CHANNEL_USAGE_METRIC; OPERATIONAL_EVENT; SERVICE_LEVEL_METRIC
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,"Finance Systems - Budgets, Plans & Forecasts",Finance,GL_ACCOUNT; BUDGET; FORECAST; FINANCIAL_PLAN
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Risk Scenario & Stress Testing Results,Analytical Model,RISK_CALCULATION_SCENARIO; RISK_SCENARIO_RESULT; STRESS_TEST_RESULT
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,DOCUMENT; NEWS_FEED; MARKET_INDEX
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_GRADE_SCHEME; RISK_GRADE_VALUE; RISK_POLICY; BUSINESS_RULE
Marketing and Customer Experience,Reporting & Continuous Improvement,Strategy Monitoring,Customer Research - Primary & Secondary,Cross Subject - Survey,SURVEY; SURVEY_QUESTION_RESPONSE; PARTY_SURVEY_RESPONSE
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Customer Marketing Preferences,Party,PARTY_PREFERENCE; PARTY_MARKETING_PREFERENCE; PARTY_CONSENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE; SURVEY; SURVEY_QUESTION_RESPONSE
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Complaint Data,Event,COMPLAINT; COMPLAINT_STATUS; COMPLAINT_RESOLUTION
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Master & Reference Data - Campaign,Campaign,CAMPAIGN; CAMPAIGN_TYPE; CAMPAIGN_STATUS; CAMPAIGN_WAVE
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Campaign History Data,Campaign,CAMPAIGN; CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; CAMPAIGN_WAVE
Marketing and Customer Experience,Reporting & Continuous Improvement,Contact Frequency Monitoring,Campaign Promotional Calendar,Campaign,CAMPAIGN; CAMPAIGN_WAVE; CAMPAIGN_SCHEDULE
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Customer Marketing Preferences,Party,PARTY_PREFERENCE; PARTY_MARKETING_PREFERENCE; PARTY_CONSENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE; SURVEY; SURVEY_QUESTION_RESPONSE
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Economic Forecast Data,Party,ECONOMIC_INDEX; ECONOMIC_INDEX_VALUE; MARKET_INDEX
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC; PERFORMANCE_TARGET; ORGANIZATION_PERFORMANCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Complaint Data,Event,COMPLAINT; COMPLAINT_STATUS; COMPLAINT_RESOLUTION
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,"Case History (Fraud, Money Laundering, Complaint)",Event,CASE; CASE_EVENT; CASE_PARTY_ROLE; FRAUD_CASE
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Internal Process Activity Data,Event,EVENT; PROCESS_EVENT; OPERATIONAL_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Text Data,Cross Subject - Document,DOCUMENT; TEXT_CONTENT; DIGITAL_CONTENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Voice Recording,Cross Subject - Multi-media object,DIGITAL_CONTENT; CALL_RECORDING; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Complaints Root Cause Analysis MI,Business Process Definition,Not Covered,EVENT; PROCESS_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE; SURVEY; SURVEY_QUESTION_RESPONSE
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Master & Reference Data - staff / colleague,Party,INDIVIDUAL; ASSOCIATE; ASSOCIATE_ASSIGNMENT; INTERNAL_ORGANIZATION_UNIT
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC; PERFORMANCE_TARGET; ORGANIZATION_PERFORMANCE
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,HR Performance Data,Party,ASSOCIATE; ASSOCIATE_PERFORMANCE_REVIEW; ASSOCIATE_ASSIGNMENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Master & Reference Data - product,Product,Not mapped
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,"Product Revenue, Cost & Margin",Product,PRODUCT; PRODUCT_PRICING; PRODUCT_COST; AGREEMENT_SUMMARY
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Product NPV's,Product,PRODUCT; PRODUCT_VALUATION; AGREEMENT_SUMMARY
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Profitability Results,Agreement,AGREEMENT_SUMMARY; AGREEMENT_PROFITABILITY; PRODUCT_PROFITABILITY
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Predictive Models - attrition,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,"Risk Segments, Cohorts & Groupings",Party or Agreement,PARTY_CLASSIFICATION; RISK_GRADE_VALUE; RISK_GRADE_SCHEME
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,"Documents - Structured Data Capture (Survey, Application Forms)",Cross Subject - Document,DOCUMENT; DOCUMENT_TYPE; SURVEY; APPLICATION
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Text Data,Cross Subject - Document,DOCUMENT; TEXT_CONTENT; DIGITAL_CONTENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Customer Research - Primary & Secondary,Cross Subject - Survey,SURVEY; SURVEY_QUESTION_RESPONSE; PARTY_SURVEY_RESPONSE
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Voice Recording,Cross Subject - Multi-media object,DIGITAL_CONTENT; CALL_RECORDING; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Reporting & Continuous Improvement,Attrition Root Cause Analysis MI,Business Process Definition,Not Covered,EVENT; PROCESS_EVENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Risk Management & Regulation,Risk Insight,Application and New Business Written,KYC Data,Party,PARTY_IDENTIFICATION; PARTY_CLASSIFICATION; PARTY_IDENTITY_DOCUMENT; PARTY_COMPLIANCE_VERIFICATION
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Attitudinal Data,Party,PARTY_PREFERENCE; PARTY_CLASSIFICATION; PARTY_SURVEY_RESPONSE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Marketing Preferences,Party,PARTY_PREFERENCE; PARTY_MARKETING_PREFERENCE; PARTY_CONSENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE; SURVEY; SURVEY_QUESTION_RESPONSE
Risk Management & Regulation,Risk Insight,Application and New Business Written,External Prospect Data / Lists,Party,PARTY; PROSPECT; PARTY_LIST; PARTY_LIST_MEMBERSHIP
Risk Management & Regulation,Risk Insight,Application and New Business Written,External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT; CREDIT_BUREAU_SCORE; PARTY_EXTERNAL_RATING
Risk Management & Regulation,Risk Insight,Application and New Business Written,External Data - Credit Rating,Party,PARTY_EXTERNAL_RATING; PARTY_LIABILITY_CREDIT_RATING; CREDIT_BUREAU_SCORE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - staff / colleague,Party,INDIVIDUAL; ASSOCIATE; ASSOCIATE_ASSIGNMENT; INTERNAL_ORGANIZATION_UNIT
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Sales and Performance Forecasts, Targets & KPIs",Party,PERFORMANCE_METRIC; PERFORMANCE_TARGET; ORGANIZATION_PERFORMANCE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Core Contact Details,Location,PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS; TELEPHONE_NUMBER
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - geography / location,Location,GEOGRAPHICAL_AREA; GEOGRAPHICAL_UNIT; SITE; POSTAL_ADDRESS
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - product,Product,Not mapped
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - FTP rates,Product,INTEREST_RATE; INTEREST_RATE_INDEX; PRODUCT_INTEREST_RATE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - exchange rates,Product,CURRENCY; CURRENCY_EXCHANGE_RATE; CURRENCY_PAIR
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Product Revenue, Cost & Margin",Product,PRODUCT; PRODUCT_PRICING; PRODUCT_COST; AGREEMENT_SUMMARY
Risk Management & Regulation,Risk Insight,Application and New Business Written,Product NPV's,Product,PRODUCT; PRODUCT_VALUATION; AGREEMENT_SUMMARY
Risk Management & Regulation,Risk Insight,Application and New Business Written,External Data - market interest rates,Product,INTEREST_RATE_INDEX; INTEREST_RATE; MARKET_INDEX; MARKET_INDEX_VALUE
Risk Management & Regulation,Risk Insight,Application and New Business Written,"External Data - market prices (E.g. equities, bonds, commodities)",Product,MARKET_INDEX; MARKET_INDEX_VALUE; INVESTMENT_PRODUCT; INVESTMENT_PRODUCT_PRICE
Risk Management & Regulation,Risk Insight,Application and New Business Written,External Data - Competitor Product & Pricing,Party & Product,PRODUCT; MARKET_INDEX
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account Terms & Conditions,Agreement,AGREEMENT; AGREEMENT_CONDITION; AGREEMENT_TERM
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Application Data (New Customer, New Product)",Agreement,APPLICATION; APPLICATION_STATUS; APPLICATION_PARTY_ROLE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Coverage (insurance),Agreement,INSURANCE_COVERAGE; INSURANCE_AGREEMENT; COVERAGE_TYPE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Mark to market valuations,Agreement,INVESTMENT_PRODUCT_PRICE; MARKET_INDEX_VALUE; AGREEMENT_VALUATION
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Illustrations,Agreement,DOCUMENT; PARTY_DOCUMENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Customer Quotes,Agreement,APPLICATION; QUOTE; DOCUMENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Collateral Agreements,Agreement,COLLATERAL_AGREEMENT; COLLATERAL; COLLATERAL_VALUATION; PARTY_ASSET
Risk Management & Regulation,Risk Insight,Application and New Business Written,Risk Exposures,Agreement,AGREEMENT_RISK_METRIC; RISK_EXPOSURE; CREDIT_RISK_SUMMARY
Risk Management & Regulation,Risk Insight,Application and New Business Written,Account Limits,Cross Subject  -  Limits,AGREEMENT_LIMIT; LIMIT; PARTY_LIMIT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Predictive Models - propensity to buy,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Predictive Models - price elasticity,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Attribution Models - response,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; CAMPAIGN_RESPONSE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Lead Foodchain data,Party or Agreement,OPPORTUNITY; OPPORTUNITY_STATUS; OPPORTUNITY_PARTY_ROLE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Predictive Models - risk,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_LIABILITY_CREDIT_RATING
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Risk Segments, Cohorts & Groupings",Party or Agreement,PARTY_CLASSIFICATION; RISK_GRADE_VALUE; RISK_GRADE_SCHEME
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Provisions, Losses & Writeoffs",Party or Agreement,AGREEMENT_RISK_METRIC; PROVISION; WRITE_OFF; LOSS_EVENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Offline Customer Interactions - Branch,Event,DIRECT_CONTACT_EVENT; BRANCH_VISIT_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Offline Customer Interactions - Call Centre,Event,DIRECT_CONTACT_EVENT; CALL_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Offline Customer Interactions - letters,Event,DIRECT_CONTACT_EVENT; CORRESPONDENCE_EVENT; DOCUMENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Offline Customer Interactions - sms text,Event,DIRECT_CONTACT_EVENT; SMS_EVENT; ELECTRONIC_ADDRESS
Risk Management & Regulation,Risk Insight,Application and New Business Written,Online Interactions -  webchat (internal & external),Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Online Interactions customer digital banking site (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; EXTENDED_SESSION_INFORMATION; ONLINE_APPLICATION_ACCESS
Risk Management & Regulation,Risk Insight,Application and New Business Written,Online Interactions customer general banking site,Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Online Interactions email - customer & employee,Event,DIRECT_CONTACT_EVENT; EMAIL_EVENT; ELECTRONIC_ADDRESS
Risk Management & Regulation,Risk Insight,Application and New Business Written,Online Interactions mobile app,Event,WEB_VISIT; WEB_PAGE_VIEW; MOBILE_APP_EVENT; CHANNEL_INSTANCE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Online Interactions off-site - ad server,Event,AD; AD_PLACEMENT; AD_IMPRESSION; AD_CAMPAIGN_OBJECTIVE
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Case History (Fraud, Money Laundering, Complaint)",Event,CASE; CASE_EVENT; CASE_PARTY_ROLE; FRAUD_CASE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Defaults & Limit Breaches,Event,AGREEMENT_STATUS; DEFAULT_EVENT; LIMIT_BREACH_EVENT; AGREEMENT_RISK_METRIC
Risk Management & Regulation,Risk Insight,Application and New Business Written,Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; DIRECT_CONTACT_EVENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Internal Process Activity Data,Event,EVENT; PROCESS_EVENT; OPERATIONAL_EVENT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Physical Assets,Party Asset,PARTY_ASSET; FIXED_ASSET; REAL_PROPERTY
Risk Management & Regulation,Risk Insight,Application and New Business Written,Physical Asset Valuations,Party Asset,PARTY_ASSET_VALUATION; COLLATERAL_VALUATION; REAL_PROPERTY_VALUATION
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - organisation hierarchy,Internal Organisation,ORGANIZATION; INTERNAL_ORGANIZATION_UNIT; ORGANIZATION_UNIT_RELATIONSHIP; ORGANIZATION_BUSINESS_TYPE
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - Campaign,Campaign,CAMPAIGN; CAMPAIGN_TYPE; CAMPAIGN_STATUS; CAMPAIGN_WAVE
Risk Management & Regulation,Risk Insight,Application and New Business Written,"Model Metadata (E.g. defintion, assumptions, metrics)",Analytical Model,ANALYTICAL_MODEL; MODEL_RUN; MODEL_PARAMETER
Risk Management & Regulation,Risk Insight,Application and New Business Written,Risk Scenario & Stress Testing Results,Analytical Model,RISK_CALCULATION_SCENARIO; RISK_SCENARIO_RESULT; STRESS_TEST_RESULT
Risk Management & Regulation,Risk Insight,Application and New Business Written,Master & Reference Data - Risk Policy Rules,Cross Subject - Document,RISK_GRADE_SCHEME; RISK_GRADE_VALUE; RISK_POLICY; BUSINESS_RULE
Risk Management & Regulation,Risk Insight,Single Customer View from a Risk Perspective,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Risk Management & Regulation,Risk Insight,Single Customer View from a Risk Perspective,KYC Data,Party,PARTY_IDENTIFICATION; PARTY_CLASSIFICATION; PARTY_IDENTITY_DOCUMENT; PARTY_COMPLIANCE_VERIFICATION
Risk Management & Regulation,Risk Insight,Single Customer View from a Risk Perspective,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Risk Management & Regulation,Risk Insight,Single Customer View from a Risk Perspective,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Risk Management & Regulation,Risk Insight,Single Customer View from a Risk Perspective,External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT; CREDIT_BUREAU_SCORE; PARTY_EXTERNAL_RATING
