FSDM_Entity,Subject_Area,Capabilities_Supported,Reuse_Score,Priority_Tier
CALL_EVENT,Unknown,59,0.527,P2-High
WEB_PAGE_VIEW,Web Analytics,59,0.527,P2-High
ONLINE_INTERACTION_EVENT,Unknown,59,0.527,P2-High
EXTENDED_SESSION_INFORMATION,Web Analytics,59,0.527,P2-High
ONLINE_APPLICATION_ACCESS,Channel Management,59,0.527,P2-High
PARTY_DOCUMENT,Party Management,59,0.527,P2-High
PARTY_SURVEY_RESPONSE,Party Management,58,0.518,P2-High
APPLICATION_STATUS,Other,57,0.509,P2-High
APPLICATION_PARTY_ROLE,Unknown,57,0.509,P2-High
MODEL_SCORE,Unknown,57,0.509,P2-High
COLLATERAL_AGREEMENT,Agreement/Account,57,0.509,P2-High
COLLATERAL,Unknown,57,0.509,P2-High
CORRESPONDENCE_EVENT,Unknown,56,0.5,P2-High
SMS_EVENT,Unknown,56,0.5,P2-High
EMAIL_EVENT,Unknown,56,0.5,P2-High
MOBILE_APP_EVENT,Unknown,56,0.5,P2-High
INSURANCE_COVERAGE,Unknown,56,0.5,P2-High
COVERAGE_TYPE,Unknown,56,0.5,P2-High
PARTY_MARKETING_PREFERENCE,Unknown,55,0.491,P2-High
PARTY_CONSENT,Unknown,55,0.491,P2-High
CASE,Unknown,54,0.482,P2-High
CASE_EVENT,Event Management,54,0.482,P2-High
CASE_PARTY_ROLE,Unknown,54,0.482,P2-High
FRAUD_CASE,Unknown,54,0.482,P2-High
EVENT,Event Management,53,0.473,P2-High
CHANNEL_USAGE_METRIC,Unknown,52,0.464,P2-High
CAMPAIGN,Campaign/Marketing,52,0.464,P2-High
CAMPAIGN_WAVE,Unknown,52,0.464,P2-High
SERVICE_USAGE_EVENT,Unknown,51,0.455,P2-High
CHANNEL_TYPE,Channel Management,51,0.455,P2-High
CHANNEL_CLASSIFICATION,Unknown,51,0.455,P2-High
FEE_TRANSACTION,Unknown,50,0.446,P2-High
COMMISSION_TRANSACTION,Unknown,50,0.446,P2-High
AGREEMENT_FEE,Unknown,50,0.446,P2-High
FIXED_ASSET,Asset Management,50,0.446,P2-High
REAL_PROPERTY,Unknown,50,0.446,P2-High
PARTY_ASSET_VALUATION,Unknown,50,0.446,P2-High
REAL_PROPERTY_VALUATION,Unknown,50,0.446,P2-High
COMPLAINT,Unknown,49,0.438,P2-High
COMPLAINT_STATUS,Unknown,49,0.438,P2-High
COMPLAINT_RESOLUTION,Unknown,49,0.438,P2-High
RISK_POLICY,Unknown,49,0.438,P2-High
BUSINESS_RULE,Unknown,49,0.438,P2-High
CREDIT_BUREAU_SCORE,Unknown,48,0.429,P2-High
PARTY_EXTERNAL_RATING,Unknown,48,0.429,P2-High
INVESTMENT_ACCOUNT,Unknown,48,0.429,P2-High
INVESTMENT_HOLDING,Investment Management,48,0.429,P2-High
PROCESS_EVENT,Unknown,46,0.411,P2-High
PARTY_COMPLIANCE_VERIFICATION,Unknown,45,0.402,P2-High
OPERATIONAL_EVENT,Unknown,45,0.402,P2-High
PARTY_LEGAL_ACTION,Party Management,45,0.402,P2-High
LEGAL_ACTION,Other,45,0.402,P2-High
PARTY_LITIGATION,Unknown,45,0.402,P2-High
RISK_CALCULATION_SCENARIO,Risk Management,45,0.402,P2-High
RISK_SCENARIO_RESULT,Unknown,45,0.402,P2-High
