"Parent","Child","Cardinality","FK_Columns","Relationship_Name"
"OPPORTUNITY STATUS TYPE","PARTY OPPORTUNITY ROLE TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> PARTY OPPORTUNITY ROLE TYPE"
"OPPORTUNITY STATUS TYPE","SALES METHOD TYPE","1:M","Opportunity Status Cd","OPPORTUNITY STATUS TYPE -> SALES METHOD TYPE"
"OPTION AGREEMENT","OPTION PRODUCT","1:M","Option Type Cd","OPTION AGREEMENT -> OPTION PRODUCT"
"OPTION AGREEMENT","OPTION PUT CALL TYPE","1:M","Option Type Cd","OPTION AGREEMENT -> OPTION PUT CALL TYPE"
"PARTY ASSET PRICE SENSITIVITY","PARTY ASSET SENSITIVITY TYPE","1:M","Sensitivity Cd","PARTY ASSET PRICE SENSITIVITY -> PARTY ASSET SENSITIVITY TYPE"
"PARTY CLASS VALUE","CHANNEL CHANNEL CLASS XREF","1:M","Party Class Value Cd","PARTY CLASS VALUE -> CHANNEL CHANNEL CLASS XREF"
"PARTY CLASS VALUE","CHANNEL CLASS VALUE","1:M","Party Class Value Cd","PARTY CLASS VALUE -> CHANNEL CLASS VALUE"
"PARTY CLASS VALUE","PARTY PARTY CLASS XREF","1:M","Party Class Value Cd","PARTY CLASS VALUE -> PARTY PARTY CLASS XREF"
"PARTY DOCUMENT LOCATOR","PARTY DOCUMENT ROLE TYPE","1:M","Party Portfolio Role Cd","PARTY DOCUMENT LOCATOR -> PARTY DOCUMENT ROLE TYPE"
"PARTY FINANCIAL DOCUMENT","FINANCIAL DOCUMENT TYPE","1:M","Financial Document Type Cd","PARTY FINANCIAL DOCUMENT -> FINANCIAL DOCUMENT TYPE"
"PARTY GROUP REASON TYPE","PRODUCT GROUP","1:M","Party Group Reason Type Cd","PARTY GROUP REASON TYPE -> PRODUCT GROUP"
"PARTY GROUP REASON TYPE","PRODUCT GROUP REASON TYPE","1:M","Party Group Reason Type Cd","PARTY GROUP REASON TYPE -> PRODUCT GROUP REASON TYPE"
"PARTY IDENTIFICATION TYPE","PRODUCT IDENTIFICATION","1:M","Party Identification Type Cd","PARTY IDENTIFICATION TYPE -> PRODUCT IDENTIFICATION"
"PARTY IDENTIFICATION TYPE","PRODUCT IDENTIFICATION TYPE","1:M","Party Identification Type Cd","PARTY IDENTIFICATION TYPE -> PRODUCT IDENTIFICATION TYPE"
"PARTY PARTY CLASS XREF","CHANNEL CHANNEL CLASS XREF","1:M","Party Class Start Dt","PARTY PARTY CLASS XREF -> CHANNEL CHANNEL CLASS XREF"
"PARTY STATUS","PARTY STATUS TYPE","1:M","Party Status Cd","PARTY STATUS -> PARTY STATUS TYPE"
"PAY ELEMENT TYPE","PAY ELEMENT","1:M","Pay Element Type Cd","PAY ELEMENT TYPE -> PAY ELEMENT"
"PAY ELEMENT VARIABLE TYPE","DIRECT PAY ELEMENT VARIABLE","1:M","Pay Element Variable Type Cd","PAY ELEMENT VARIABLE TYPE -> DIRECT PAY ELEMENT VARIABLE"
"PAYMENT SCHEDULE TYPE","PAYMENT SCHEDULE","1:M","Payment Schedule Type Cd","PAYMENT SCHEDULE TYPE -> PAYMENT SCHEDULE"
"POSITION ASSIGNMENT STATUS","ORGANIZATION POSITION STATUS","1:M","Position Assignment Status Cd","POSITION ASSIGNMENT STATUS -> ORGANIZATION POSITION STATUS"
"POSITION TYPE","HR POSITION","1:M","Position Type Cd","POSITION TYPE -> HR POSITION"
"PRODUCT GROUP METRIC","FOREIGN EXCHANGE METRIC","1:M","Investment Product Metric Type Cd","PRODUCT GROUP METRIC -> FOREIGN EXCHANGE METRIC"
"PRODUCT GROUP METRIC","MARKET QUOTATION METRIC","1:M","Investment Product Metric Type Cd","PRODUCT GROUP METRIC -> MARKET QUOTATION METRIC"
"PRODUCT GROUP METRIC","MARKET QUOTATION METRIC TYPE","1:M","Investment Product Metric Type Cd","PRODUCT GROUP METRIC -> MARKET QUOTATION METRIC TYPE"
"PRODUCT GROUP METRIC","PRODUCT GROUP METRIC TYPE","1:M","Investment Product Metric Type Cd","PRODUCT GROUP METRIC -> PRODUCT GROUP METRIC TYPE"
"PRODUCT PARTY","PARTY AGREEMENT GROUP","1:M","Product Party Start Dt","PRODUCT PARTY -> PARTY AGREEMENT GROUP"
"PROJECT TASK RESOURCE TYPE","PROJECT TASK RESOURCE ASSIGNMENT","1:M","Project Task Resource Type Cd","PROJECT TASK RESOURCE TYPE -> PROJECT TASK RESOURCE ASSIGNMENT"
"PROMOTION OFFER TYPE","PROMOTION OFFER","1:M","Promotion Offer Type Cd","PROMOTION OFFER TYPE -> PROMOTION OFFER"
"PROMOTION PROSPECT","PROMOTION PARTY","1:M","Campaign Party Start Dt","PROMOTION PROSPECT -> PROMOTION PARTY"
"PROMOTION SCRIPTED MESSAGE XREF","IMPRESSION ACTIVITY TYPE","1:M","Alerting","PROMOTION SCRIPTED MESSAGE XREF -> IMPRESSION ACTIVITY TYPE"
"PURCHASE REQUISITION LINE","PURCHASE REQUISITION LINE ASSIGNMENT","1:M","Purchase Requisition Line Num","PURCHASE REQUISITION LINE -> PURCHASE REQUISITION LINE ASSIGNMENT"
"RECEIPT LINE DOCUMENT","RECEIPT LINE DOCUMENT TYPE","1:M","Document Type Cd","RECEIPT LINE DOCUMENT -> RECEIPT LINE DOCUMENT TYPE"
"REGULATED BENEFIT TYPE","REGULATED BENEFIT","1:M","Regulated Benefit Type Cd","REGULATED BENEFIT TYPE -> REGULATED BENEFIT"
"REPURCHASE TRADING BASIS TYPE","REPURCHASE AGREEMENT","1:M","Repurchase Trading Basis Cd","REPURCHASE TRADING BASIS TYPE -> REPURCHASE AGREEMENT"
"SECURITIZATION CLEAN UP CALL TYPE","SECURITIZATION SELL AGREEMENT","1:M","Securitization Clean Up Call Cd","SECURITIZATION CLEAN UP CALL TYPE -> SECURITIZATION SELL AGREEMENT"
"SECURITIZATION EXPOSURE","SECURITIZATION ROLE","1:M","Securitization Role Cd","SECURITIZATION EXPOSURE -> SECURITIZATION ROLE"
"SECURITIZATION POOL STRUCTURE TYPE","SECURITIZATION POOL","1:M","Securitization Pool Structure Cd","SECURITIZATION POOL STRUCTURE TYPE -> SECURITIZATION POOL"
"STRESS TEST CALCULATION SCENARIO","STRESS TEST TYPE","1:M","Stress Test Type","STRESS TEST CALCULATION SCENARIO -> STRESS TEST TYPE"
"SWAP AGREEMENT","SWAP OBLIGATION SUBTYPE","1:M","Swap Obligation Type Cd","SWAP AGREEMENT -> SWAP OBLIGATION SUBTYPE"
"SWAP LEG PROJECTED CASH FLOW","SWAP AGREEMENT LEG","1:M","Swap Leg Num","SWAP LEG PROJECTED CASH FLOW -> SWAP AGREEMENT LEG"
"TASK ADJUSTMENT REASON TYPE","TASK ADJUSTMENT","1:M","Task Adjustment Reason Cd","TASK ADJUSTMENT REASON TYPE -> TASK ADJUSTMENT"
"TASK ADJUSTMENT TYPE","TASK ADJUSTMENT","1:M","Task Adjustment Type Cd","TASK ADJUSTMENT TYPE -> TASK ADJUSTMENT"
"TERM FEATURE","TIME BAND","1:M","To Time Period Cd","TERM FEATURE -> TIME BAND"
"TIME ZONE","WEB VISIT","1:M","Time Zone Cd","TIME ZONE -> WEB VISIT"
"TRANCHE TO AGREEMENT ROLE TYPE","TRANCHE TO AGREEMENT","1:M","Tranche To Agreement Role Cd","TRANCHE TO AGREEMENT ROLE TYPE -> TRANCHE TO AGREEMENT"
"TRANSACTION ACCOUNT","BANK DRAFT","1:M","Transaction Account Id","TRANSACTION ACCOUNT -> BANK DRAFT"
"UNITED STATES BANK ACCOUNT IDENTIFIER","AGREEMENT IDENTIFICATION","1:M","Agreement Identifier Start Dttm","UNITED STATES BANK ACCOUNT IDENTIFIER -> AGREEMENT IDENTIFICATION"
"VENDOR","VENDOR TYPE","1:M","Vendor Type Cd","VENDOR -> VENDOR TYPE"
"VISITOR","GAME PLAY EVENT","1:M","Visitor Id","VISITOR -> GAME PLAY EVENT"
"VISITOR","ONLINE PROMOTION SUMMARY","1:M","Visitor Id","VISITOR -> ONLINE PROMOTION SUMMARY"
"WEB SHOPPING EXPERIENCE EVENT PRODUCT XREF","WEB SHOPPING EXPERIENCE EVENT","1:M","Shopping Experience Product Id","WEB SHOPPING EXPERIENCE EVENT PRODUCT XREF -> WEB SHOPPING EXPERIENCE EVENT"
