"Parent","Child","Cardinality","FK_Columns","Relationship_Name"
"ASSET ROLE TYPE","AGREEMENT APPLICATION ROLE","1:M","Asset Role Cd","ASSET ROLE TYPE -> AGREEMENT APPLICATION ROLE"
"ASSOCIATE EMPLOYMENT BASIS","EMPLOYMENT BASIS TYPE","1:M","Occupation Type Cd","ASSOCIATE EMPLOYMENT BASIS -> EMPLOYMENT BASIS TYPE"
"ASSOCIATE JOB CLASSIFICATION SHIFT SCHEDULE","LABOR POOL","1:M","Labor Pool Start Dt","ASSOCIATE JOB CLASSIFICATION SHIFT SCHEDULE -> LABOR POOL"
"ASSOCIATE LABOR TASK","TASK ADJUSTMENT","1:M","Labor Task Start Dttm","ASSOCIATE LABOR TASK -> TASK ADJUSTMENT"
"ASSOCIATE LEAVE REASON","ASSOCIATE LEAVE TAKEN","1:M","Associate Leave Reason Cd","ASSOCIATE LEAVE REASON -> ASSOCIATE LEAVE TAKEN"
"ASSOCIATE LEAVE TYPE","ASSOCIATE LEAVE TAKEN","1:M","Associate Leave Type Cd","ASSOCIATE LEAVE TYPE -> ASSOCIATE LEAVE TAKEN"
"ASSOCIATE POSITION STATUS","ASSOCIATE POSITION STATUS TYPE","1:M","Associate Position Status Cd","ASSOCIATE POSITION STATUS -> ASSOCIATE POSITION STATUS TYPE"
"ASSOCIATE RELATIONSHIP TYPE","ASSOCIATE CONTACT","1:M","Associate Relationship Type Cd","ASSOCIATE RELATIONSHIP TYPE -> ASSOCIATE CONTACT"
"ASSOCIATE STATUS","ASSOCIATE STATUS TYPE","1:M","Associate Status Type Cd","ASSOCIATE STATUS -> ASSOCIATE STATUS TYPE"
"ASSOCIATE STATUS REASON","ASSOCIATE STATUS","1:M","Associate Status Reason Cd","ASSOCIATE STATUS REASON -> ASSOCIATE STATUS"
"BALANCE SHEET GL MAIN ACCOUNT","BALANCE SHEET GL MAIN ACCOUNT TYPE","1:M","Balance Sheet GL Main Account  Cd","BALANCE SHEET GL MAIN ACCOUNT -> BALANCE SHEET GL MAIN ACCOUNT TYPE"
"BANK CAPITAL SUMMARY","CAPITAL REQUIREMENTS SUMMARY","1:M","Period Start Dt","BANK CAPITAL SUMMARY -> CAPITAL REQUIREMENTS SUMMARY"
"BANK CAPITAL SUMMARY","CREDIT RISK SUMMARY","1:M","Period Start Dt","BANK CAPITAL SUMMARY -> CREDIT RISK SUMMARY"
"BANK CAPITAL SUMMARY","EQUITY HOLDING SUMMARY","1:M","Period Start Dt","BANK CAPITAL SUMMARY -> EQUITY HOLDING SUMMARY"
"BANK CAPITAL SUMMARY","INTEREST RATE BANKING BOOK SUMMARY","1:M","Period Start Dt","BANK CAPITAL SUMMARY -> INTEREST RATE BANKING BOOK SUMMARY"
"BANK CAPITAL SUMMARY","RISK MITIGATION SUMMARY","1:M","Period Start Dt","BANK CAPITAL SUMMARY -> RISK MITIGATION SUMMARY"
"BANK LOSS TYPE","BANK ACTUAL RISK LOSS","1:M","Bank Loss Type Cd","BANK LOSS TYPE -> BANK ACTUAL RISK LOSS"
"BASEL DEFAULT STATUS PARAMETER","BASEL FUNCTION TYPE","1:M","Basel II Function Cd","BASEL DEFAULT STATUS PARAMETER -> BASEL FUNCTION TYPE"
"BASEL DEFAULT STATUS PARAMETER","BASEL II APPROACH","1:M","Basel II Function Cd","BASEL DEFAULT STATUS PARAMETER -> BASEL II APPROACH"
