"Entity","Attribute","DataType","PK","FK","Nullable","Description"
"AGREEMENT EVENT TYPE","Agreement Event Type Desc","N/A (LDM)","","","","A description of the account event type."
"AGREEMENT FEATURE","Agreement Feature Role Cd","N/A (LDM)","Y","","","The unique identifier for an agreement."
"AGREEMENT FEATURE","Agreement Feature Role Cd","N/A (LDM)","","","",""
"AGREEMENT FEATURE","Agreement Feature Start Dt","N/A (LDM)","","","","The date this feature became effective for this account."
"AGREEMENT FEATURE","Agreement Feature End Dt","N/A (LDM)","","","","The date this feature was no longer effective for this account."
"AGREEMENT FEATURE","Overridden Feature Id","N/A (LDM)","","","","The unique identifier for a product feature. A feature is the term or condition that describes a product such as annual fee, minimum balance, or term length. It does not include customer eligibility rules such as income and years on job. A separate entity, PRODUCT ELIGIBILITY, will describe the eligibility. Each feature has its own identifier. For example, minimum balance of 100 would have one identifier and minimum balance of 200 would have another identifier.  In this context, this is the fe"
"AGREEMENT FEATURE","Agreement Feature Amt","N/A (LDM)","","","","This is the agreed upon amount for this feature for this account. This amount may override the standard amount at the Product level."
"AGREEMENT FEATURE","Agreement Feature Rate","N/A (LDM)","","","","This is the agreed upon rate for this feature for this account. This amount may override the standard rate at the Product level."
"AGREEMENT FEATURE","Agreement Feature Qty","N/A (LDM)","","","","This is the agreed upon quantity for this feature for this account. This quantity may override the standard quantity at the Product level.  For banking, this entity identifies the number of free teller visits that you can have over a period of time.  For insurance, this entity could identify number of dental hygiene visits over a period of time.   For brokerage, it could be the number of free trades that you can have over a period of time."
"AGREEMENT FEATURE","Agreement Feature Num","N/A (LDM)","","","","This is the agreed upon term for this feature for this account. This number may override the standard quantity at the Product level.  For banking, this entity identifies the number of free teller visits that you can have over a period of time.  For insurance, this entity could identify number of dental hygiene visits over a period of time.   For brokerage, it could be the number of free trades that you can have over a period of time."
"AGREEMENT FEATURE","Agreement Feature UOM Cd","N/A (LDM)","","","","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples:  - For volume: Milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: Kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: Square inch, acre, and square kilometer - For units: Each, carton, byte, and piece - For connect speed: Kilobits/second - For loyalty units: Points, miles, an"
"AGREEMENT FEATURE","Agreement Feature To Amt","N/A (LDM)","","","","This attribute contains the 'to' amount for a condition that has a 'from' and 'to' value. The 'from' value would be in the Agreement Feature Amt attribute. This is necessary when the 'to' value of a condition is negotiated at the contract level."
"AGREEMENT FEATURE","Agreement Feature Dt","N/A (LDM)","","","","This is the value of the feature expressed as a date."
"AGREEMENT FEATURE GROUP","Agreement Feature Group Role Cd","N/A (LDM)","Y","","","The unique identifier for an account."
"AGREEMENT FEATURE GROUP","Agreement Feature Group Role Start Dt","N/A (LDM)","","","","The date this feature is effective for this account group."
"AGREEMENT FEATURE GROUP","Agreement Feature Group Role End Dt","N/A (LDM)","","","","The date this feature is no longer effective for this account group."
"AGREEMENT FEATURE GROUP ROLE","Agreement Feature Group Role Cd","N/A (LDM)","Y","","","The role that this feature group has with this agreement:  Examples: - Is included - Is excluded"
"AGREEMENT FEATURE GROUP ROLE","Agreement Feature Group Role Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT FEATURE METRIC","Agreement Feature Role Cd","N/A (LDM)","Y","","","The unique identifier for an account."
"AGREEMENT FEATURE METRIC","Agreement Feature Role Cd","N/A (LDM)","","","",""
"AGREEMENT FEATURE METRIC","Agreement Feature Metric Dttm","N/A (LDM)","","","","This is the date on which the derived data is valid."
"AGREEMENT FEATURE METRIC","Agreement Feature Metric Amt","N/A (LDM)","","","","The amount metric for this account feature and this metric type."
"AGREEMENT FEATURE METRIC","Agreement Feature Metric Rate","N/A (LDM)","","","","The rate metric for this account feature and this metric type."
"AGREEMENT FEATURE METRIC","Agreement Feature Metric Qty","N/A (LDM)","","","","The quantity metric for this account feature and this metric type."
"AGREEMENT FEATURE METRIC","Agreement Feature Metric Num","N/A (LDM)","","","","This is the term metric for this account feature and this metric type."
"AGREEMENT FEATURE METRIC","Agreement Feature Metric UOM Cd","N/A (LDM)","","","","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples:  - For volume: Milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: Kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: Square inch, acre, and square kilometer - For units: Each, carton, byte, and piece - For connect speed: Kilobits/second - For loyalty units: Points, miles, an"
"AGREEMENT FEATURE METRIC TYPE","Agreement Feature Metric Cd","N/A (LDM)","Y","","","A code for the type of account feature metric. Examples of metrics include principal balance owed and interest balance owed."
"AGREEMENT FEATURE METRIC TYPE","Agreement Feature Metric Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT FEATURE RELATED","Agreement Feature Role Cd","N/A (LDM)","Y","","","The unique identifier for an account."
"AGREEMENT FEATURE RELATED","Agreement Feature Role Cd","N/A (LDM)","","","","Related Agreement Feature Role Cd"
"AGREEMENT FEATURE ROLE TYPE","Agreement Feature Role Cd","N/A (LDM)","Y","","","The relationship of the feature to account related subjects such as account, application, and quotation.  Examples: - Negotiated override standard product feature  - Nonnegotiated override of standard product feature"
"AGREEMENT FEATURE ROLE TYPE","Agreement Feature Role Cd","N/A (LDM)","","","",""
"AGREEMENT FEATURE ROLE TYPE","Agreement Feature Role Desc","N/A (LDM)","","","","A description of the type of role."
"AGREEMENT FINANCIAL RULE","Agreement Financial Rule Amt","N/A (LDM)","Y","","","The financial rule amount used for this agreement."
"AGREEMENT FINANCIAL RULE","Agreement Financial Rule Rate","N/A (LDM)","","","","The financial rule rate used for this agreement."
"AGREEMENT FINANCIAL RULE","Agreement Financial Rule Qty","N/A (LDM)","","","","The financial rule quantity or count used for this agreement."
"AGREEMENT FUNDING SOURCE","Agreement Funding Source Amt","N/A (LDM)","Y","","","The amount of money that was funded by a given source for a given type of amount."
"AGREEMENT GROUP","Agreement Group Id","N/A (LDM)","Y","","","A unique code for this account group."
"AGREEMENT GROUP","Agreement Group Name","N/A (LDM)","","","","A short name of the account group."
"AGREEMENT GROUP","Agreement Group Desc","N/A (LDM)","","","","A text description of the account group."
"AGREEMENT GROUP","Agreement Group Start Dt","N/A (LDM)","","","","The effective date that the account group became part of the structure."
"AGREEMENT GROUP","Agreement Group End Dt","N/A (LDM)","","","","The date the account grouping stopped being part of the structure."
"AGREEMENT GROUP","Agreement Group Host Id","N/A (LDM)","","","","The identifier for this group of agreements from the source system."
"AGREEMENT GROUP","Analytical Model Id","N/A (LDM)","","","",""
"AGREEMENT GROUP","Agreement Group Reason Type Cd","N/A (LDM)","","","",""
"AGREEMENT GROUP","Parent Agreement Group Id","N/A (LDM)","","","","If one group is part of a higher-level grouping then this is the parent group. For example, a securitization tranche may be part of a large securitization pool for collateralized mortgage obligations that are sold."
"AGREEMENT GROUP BALANCE","Agreement Group Balance Start Dttm","N/A (LDM)","Y","","","The date when this balance information is effective."
"AGREEMENT GROUP BALANCE","Agreement Group Balance End Dttm","N/A (LDM)","","","","The date when this balance information is no longer effective."
"AGREEMENT GROUP BALANCE","Agreement Group Balance Time Period Cd","N/A (LDM)","","","",""
"AGREEMENT GROUP BALANCE","Agreement Group Balance Amt","N/A (LDM)","","","","This is the total of the balances for all agreements in this group."
"AGREEMENT GROUP CHART OF ACCOUNTS","Agreement Group Chart Of Accounts Start Dt","N/A (LDM)","Y","","","The date that this group of accounts became associated with this GL Account."
"AGREEMENT GROUP CHART OF ACCOUNTS","Agreement Group Chart Of Accounts End Dt","N/A (LDM)","","","","The date that this group of accounts is no longer associated with this GL Account."
"AGREEMENT GROUP CRITERION","","N/A (LDM)","","","","This entity identifies the criterion that can be used to group agreements together, such as balance > 3000 or delinquent more than 120 days."
"AGREEMENT GROUP EVENT","Agreement Group Id","N/A (LDM)","Y","","",""
"AGREEMENT GROUP FEATURE","Agreement Group Feature Start Dt","N/A (LDM)","Y","","","The start date of the relationship between this agreement group and feature."
"AGREEMENT GROUP FEATURE","Agreement Group Feature End Dt","N/A (LDM)","","","","The end date of the relationship between this agreement group and feature."
"AGREEMENT GROUP FEATURE ROLE","Agreement Group Feature Role Cd","N/A (LDM)","Y","","","The role of this Feature to this Agreement Group.   For example, if the Feature is used as selection criteria and if one Feature is the beginning value of a time band and another Feature is the ending value of the time band and a third Feature is the currency then the role indicates: - Beginning band value - Ending band value - Equal to  The above example is for Market Risk banding based on the currency and maturity of an interest rate sensitive position as a function of currency."
"AGREEMENT GROUP FEATURE ROLE","Agreement Group Feature Role Desc","N/A (LDM)","","","","A description of the type of role."
"AGREEMENT GROUP LIMIT","Agreement Group Limit Start Dt","N/A (LDM)","Y","","","The date when this limit started for this group of agreements."
"AGREEMENT GROUP LIMIT","Agreement Group Limit End Dt","N/A (LDM)","","","","The date when this limit ended for this group of agreements."
"AGREEMENT GROUP LIMIT","Agreement Group Credit Limit Amt","N/A (LDM)","","","","The amount of the limit for this group of agreements for this time period in the currency of the books."
"AGREEMENT GROUP METRIC","Agreement Group Metric Start Dt","N/A (LDM)","Y","","","The date when this metric started for this group of agreements."
"AGREEMENT GROUP METRIC","Agreement Group Metric End Dt","N/A (LDM)","","","","The date when this metric ended for this group of agreements."
"AGREEMENT GROUP METRIC","Agreement Group Amt","N/A (LDM)","","","","The metric expressed as an amount."
"AGREEMENT GROUP METRIC","Agreement Group Rate","N/A (LDM)","","","","The metric expressed as a rate."
"AGREEMENT GROUP METRIC","Agreement Group Cnt","N/A (LDM)","","","","The metric expressed as a quantity."
"AGREEMENT GROUP METRIC","Agreement Group Qty","N/A (LDM)","","","","The metric expressed as a quantity. The unit of measure for the quantity is in the Unit of Measure field."
"AGREEMENT GROUP METRIC TYPE","Agreement Group Metric Cd","N/A (LDM)","Y","","","A code for the type of metric that measures one account group compared to another account group or that measures a group.  For example, for Asset Liability Management, one of the metrics might be Duration Gap, which is the difference between the duration of an asset portfolio (account group) and a liability portfolio (account group)."
"AGREEMENT GROUP METRIC TYPE","Agreement Group Metric Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT GROUP REASON TYPE","Agreement Group Reason Type Cd","N/A (LDM)","Y","","","The reason for the grouping of accounts such as for securitization, retail pooling for risk, netting, segmentation, or market risk banding."
"AGREEMENT GROUP REASON TYPE","Agreement Group Reason Type Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT GROUP RELATED","Agreement Group Id","N/A (LDM)","Y","","","A unique code for this agreement group."
"AGREEMENT GROUP RELATED METRIC","Agreement Group Id","N/A (LDM)","Y","","","A unique code for this account group."
"AGREEMENT GROUP RELATED ROLE","","N/A (LDM)","","","","This entity identifies the reasons why one group of agreements is related to another group of agreements. Possible values include one group hedges another group, and market risk."
"AGREEMENT GROUP RISK","Agreement Group Loss Given Default Rate","N/A (LDM)","Y","","","The estimated factor to be used when calculating the loss if this group of exposures defaults - usually based on a weighted average of the accounts in this pool.  For Basel II it is known as 'LGD'"
"AGREEMENT GROUP RISK","Agreement Group Loss Given Deflt Rate","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK","Agreement Group Probability Default Rate","N/A (LDM)","","","","The estimated weighted average of the probability of default for this group of exposures.  For Basel II it is known as 'PD'"
"AGREEMENT GROUP RISK","Agreement Group Prob Default Rate","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK","Agreement Group Effective Maturity Cnt","N/A (LDM)","","","","The weighted average number of years to the maturity date for this group of exposures.  For Basel II it is known as 'M'"
"AGREEMENT GROUP RISK","Agreement Group Eff Maturity Cnt","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK","Agreement Group Default Guarantee Amt","N/A (LDM)","","","","The derived estimated amount that is guaranteed for credit default. Derived from other elements in the model. At the Agreement Group Level."
"AGREEMENT GROUP RISK","Agreement Group Default Guarantee Amt","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK","Agreement Group Exposure At Default Amt","N/A (LDM)","","","","The expected exposure amount at the time of default for this group of exposures.  For Basel II it is known as 'EAD'"
"AGREEMENT GROUP RISK","Agreement Group Exposure At Dflt Amt","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK","Agreement Group Capital Requirement Amt","N/A (LDM)","","","","The capital requirement at the agreement group/pool level, which is an aggregation of the capital requirement of the underlying exposures.  For Basel II it is known as 'K'"
"AGREEMENT GROUP RISK","Agreement Group Capital Reqmt Amt","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK","Agreement Group Specific Provision Amt","N/A (LDM)","","","","This is the amount of capital set aside for this group of exposures."
"AGREEMENT GROUP RISK","Agreement Group Risk Credit Valuation Amt","N/A (LDM)","","","","For Basel III this is the portfolio capital charge if the bank does not have approval to use an internal model for exposure to derivatives and off balance sheet risks."
"AGREEMENT GROUP RISK","Agreement Group Longest Maturity Cnt","N/A (LDM)","","","","The expected number of remaining years for the longest contract in this group (such as netting pool) for Basel II/III purposes. It is derived from the length of the contract and the determined cash flows (principal, interest, and fees). If there is no contract end date (e.g., credit card) then there is an algorithm in determining the number of years per the Basel Accord. For Basel III, this is used when calculating credit valuation adjustment (CVA) capital charge."
"AGREEMENT GROUP RISK GRADE","Agreement Group Risk Start Dttm","N/A (LDM)","Y","","","The date when this risk grade is effective for this group of agreements."
"AGREEMENT GROUP RISK GRADE","Agreement Group Risk End Dttm","N/A (LDM)","","","","The date when this risk grade is no longer effective for this group if agreements."
"AGREEMENT GROUP RISK GRADE","Agreement Group Next Review Dttm","N/A (LDM)","","","","The next date when this group of agreements will be rated."
"AGREEMENT GROUP RISK GRADE","Agreement Group Risk Rate Dttm","N/A (LDM)","","","","The date when this group if agreements was rated."
"AGREEMENT GROUP RISK TYPE METRIC","Agreement Group Risk Metric Amt","N/A (LDM)","Y","","","The amount of the metric for this metric type for this group of agreements.  Examples: - Netted long-short position amount - Long position amount - Short position amount - Capital charge"
"AGREEMENT GROUP RISK TYPE METRIC","Market Risk Agreement Group Metric Amt","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK TYPE METRIC","Agreement Group Risk Metric Rate","N/A (LDM)","","","","The rate of the metric for this metric type for this group of agreements.  Examples for interest rate risk are parameters used during the calculation: - Risk weight rate - Assumed yield change rate"
"AGREEMENT GROUP RISK TYPE METRIC","Market Risk Agreement Group Metric Rate","N/A (LDM)","","","",""
"AGREEMENT GROUP RISK TYPE METRIC","Agreement Group Risk Metric Cnt","N/A (LDM)","","","","The risk metric, which is a count."
"AGREEMENT GROUP SCORE","Analytical Model Id","N/A (LDM)","Y","","","A unique code for this agreement group."
"AGREEMENT GROUP SCORE","Agreement Group Score Val","N/A (LDM)","","","","This is the score for this group of agreements for this type of score (e.g., probability of default)."
"AGREEMENT GROUP SUBJECT","Agreement Group Id","N/A (LDM)","Y","","",""
"AGREEMENT GROUP TEXT","Agreement Group Text Dttm","N/A (LDM)","Y","","","The date and time this text information was effective."
"AGREEMENT GROUP TEXT","Agreement Group Source Party Id","N/A (LDM)","Y","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party who wrote the text."
"AGREEMENT GROUP TEXT","Agreement Group Txt","N/A (LDM)","","","","The free form text for this group of accounts."
"AGREEMENT GROUP TYPE","Agreement Group Type Cd","N/A (LDM)","Y","","","A code for the type of group such as a securitization group where a group of exposures are sold to a third party, or a group of exposures that share some characteristics such as past due 90 days and high credit risk."
"AGREEMENT GROUP TYPE","Agreement Group Type Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT GROUP TYPE XREF","Agreement Group Id","N/A (LDM)","Y","","","A unique code for this agreement group."
"AGREEMENT GROUP TYPE XREF","Agreement Group Type Cd","N/A (LDM)","","","",""
"AGREEMENT GROUP TYPE XREF","Agreement Group Type Start Dt","N/A (LDM)","","","","The date when this group of agreements was put into this classification."
"AGREEMENT GROUP TYPE XREF","Agreement Group Type End Dt","N/A (LDM)","","","","The date when this group of agreements was no longer put into this classification."
"AGREEMENT HOLDER","","N/A (LDM)","","","","This entity is a placeholder for the parties who are legally bound by the terms of the agreement - the customer. They could be the named insured for an insurance policy or the account holder in a banking agreement.  This entity is in the model to show completeness and may be removed."
"AGREEMENT ID TYPE JAPAN","Agreement Identification Cd","N/A (LDM)","Y","","","Indicates whether when the account matures if the rate goes to the liquid rate or to the new term rate."
"AGREEMENT ID TYPE JAPAN","Agreement Identification Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT IDENTIFICATION","Agreement Identification Type Cd","N/A (LDM)","Y","","","The unique identifier for an account."
"AGREEMENT IDENTIFICATION","Agreement Identifier Start Dttm","N/A (LDM)","","","","The date and time when this identifier applies to this agreement."
"AGREEMENT IDENTIFICATION","Issuing Organization Party Id","N/A (LDM)","Y","","","The unique identifier for an organization.  In this context, this is the organization that issued the identifier for this agreement."
"AGREEMENT IDENTIFICATION","Agreement Identifier End Dttm","N/A (LDM)","","","","The date and time when this identifier no longer applies to this agreement."
"AGREEMENT IDENTIFICATION","Agreement Identification Category Cd","N/A (LDM)","","","",""
"AGREEMENT IDENTIFICATION CATEGORY","Agreement Identification Category Cd","N/A (LDM)","Y","","","A code used as a category discriminator for entity AGREEMENT IDENTIFICATION.   Examples: - IBAN - Other"
"AGREEMENT IDENTIFICATION CATEGORY","Agreement Identification Category Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT IDENTIFICATION TYPE","Agreement Identification Type Cd","N/A (LDM)","Y","","","A code for the type of identifier for this agreement such as IBAN - International Bank Agreement Number or the ABA (American Bankers Association) number in the U.S."
"AGREEMENT IDENTIFICATION TYPE","Agreement Identification Type Desc","N/A (LDM)","","","","A description of the code."
"AGREEMENT INDIRECT EXPENSE","Indirect Expense Amt","N/A (LDM)","Y","","","The amount of indirect expense as calculated by VA for this account for this IE version/view. One amount for each account for the current profit cycle.  In the Internal Accounting Currency (IAC)."
"AGREEMENT INSURANCE RISK CATEGORY","Insurance (all LOB)","N/A (LDM)","Y","","",""
"AGREEMENT INSURANCE RISK CATEGORY","Agreement Risk Category Start Dt","N/A (LDM)","","","","The date this combination of account and risk category started."
"AGREEMENT INSURANCE RISK CATEGORY","Agreement Risk Category End Dt","N/A (LDM)","","","","The date this combination of account and risk category ended."
"AGREEMENT INSURED ASSET","Agreement Insured Asset Amt","N/A (LDM)","Y","","","The value of the asset for insurance purposes, valued in relation to the associated account.  The date of validation is in Agreement Asset Start Dt.  In the Internal Accounting Currency."
"AGREEMENT INSURED ASSET","Agreement Asset Premium Amt","N/A (LDM)","","","","The insurance premium for the customer asset in relation to the associated account.  In the Internal Accounting Currency."
"AGREEMENT INSURED ASSET","Agreement Insured Asset Reinsurance Ind","N/A (LDM)","","","","Indicator to indicate if the policy covering the insurable exposure should be reinsured."
"AGREEMENT INSURED ASSET","Agreement Currency Insured Asset Amt","N/A (LDM)","","","","The value of the asset for insurance purposes, valued in relation to the associated account.  The date of validation is in Agreement Asset Start Dt.  In the currency of the policy."
"AGREEMENT INSURED ASSET","Agreement Currency Asset Premium Amt","N/A (LDM)","","","","The insurance premium for the customer asset in relation to the associated account.  In the currency of the policy."
"AGREEMENT INSURED ASSET COST","Agreement Insured Asset Cost Start Dt","N/A (LDM)","Y","","","The date the cost is effective."
"AGREEMENT INSURED ASSET COST","Agreement Insured Asset Cost End Dt","N/A (LDM)","","","","The last date when this cost was effective."
"AGREEMENT INSURED ASSET COST","Agreement Insured Asset Cost Amt","N/A (LDM)","","","","The amount of the costs.  In the Internal Accounting Currency."
"AGREEMENT INSURED ASSET FEATURE","Agreement Asset Feature Start Dt","N/A (LDM)","Y","","","The start date this asset is associated with the product feature that is valid for the account."
"AGREEMENT INSURED ASSET FEATURE","Agreement Asset Feature End Dt","N/A (LDM)","","","","The date this asset is no longer associated with the product feature that is valid for the account."
"AGREEMENT INSURED ASSET FEATURE","Overridden Feature Id","N/A (LDM)","Y","","",""
"AGREEMENT INSURED ASSET FEATURE RELATED","","N/A (LDM)","","","","This entity associates subfeatures (e.g., limit and deductible) to the coverage features that apply to an insured asset for a specific policy. For example, a limit of $500 may apply to the property damage coverage. The limit amount and the coverage are each separate features."
"AGREEMENT INSURED PARTY","Insurance (all LOB)","N/A (LDM)","Y","","",""
"AGREEMENT INSURED PARTY","Member Num","N/A (LDM)","","","","A number assigned to each insured within a policy."
"AGREEMENT INVESTOR","","N/A (LDM)","","","","In a banking Securitization Agreement or Reinsurance Agreement, one party sells the risk (or part of the risk) and another party buys the risk. This is the party that bought the risk or has assumed the exposure in some manner. This may or may not be your enterprise.  This is a subtype entity to the PARTY AGREEMENT entity and contains information about parties that have a role of 'assumes risk for.' The lender/insurer may take complete risk. In addition, a loan or a portion of a loan may be sol"
"AGREEMENT LEASING ASSET","Asset Leasing Value Amt","N/A (LDM)","Y","","","The value of the asset for leasing purposes, valued in relation to the associated account.  The date of valuation is in Agreement Asset Start Dt.  In the Internal Accounting Currency."
"AGREEMENT LEASING ASSET","Agreement Asset Leasing Amt","N/A (LDM)","","","","The leasing amount for the party asset in relation to the associated account.  In the Internal Accounting Currency."
"AGREEMENT LEASING ASSET","Agreement Currency Leasing Value Amt","N/A (LDM)","","","","The value of the asset for leasing purposes, valued in relation to the associated account.  The date of validation is in Agreement Asset Start Dt.  In the currency of the account."
"AGREEMENT LEASING ASSET","Agreement Currency Asset Leasing Amt","N/A (LDM)","","","","The leasing amount for the party asset in relation to the associated account.  In the currency of the account."
"AGREEMENT LEASING ASSET","Agreement Asset Lease Residual Amt","N/A (LDM)","","","","For a leased asset, this is the anticipated fair market value of the asset at the expiration of the lease.  In the Internal Accounting Currency."
"AGREEMENT LEASING ASSET","Agreement Currency Lease Residual Amt","N/A (LDM)","","","","For a leased asset, this is the anticipated fair market value of the asset at the expiration of the lease.  In the currency of the account."
"AGREEMENT LEGAL ACTION","Judgment Amt","N/A (LDM)","Y","","","The judgment amount that was determined to be appropriate for this account for the legal action."
"AGREEMENT LEGAL ACTION","Judgment Dt","N/A (LDM)","","","","The date that the judgment was determined for this account for this legal case."
"AGREEMENT LEGAL ACTION","Court Judgment Application Dt","N/A (LDM)","","","","The date the application for judgment was submitted to the Court."
"AGREEMENT LIMIT","Agreement Limit Start Dttm","N/A (LDM)","Y","","","The date the indicated limit became effective for the agreement."
"AGREEMENT LIMIT","Agreement Limit End Dttm","N/A (LDM)","","","","The last date when this limit was effective."
"AGREEMENT LIMIT","Agreement Limit Amt","N/A (LDM)","","","","The amount of the limit for this agreement.   In the Internal Accounting Currency."
"AGREEMENT LIMIT","Agreement Currency Limit Amt","N/A (LDM)","","","","The amount of the limit for this agreement.   In the currency of the account."
"AGREEMENT LOCATOR","Agreement Locator Start Dt","N/A (LDM)","Y","","","The date the relation between the account and the locator (i.e., addresses) started."
"AGREEMENT LOCATOR","Agreement Locator End Dt","N/A (LDM)","","","","The date the relation between the account and the locator (i.e., addresses) ended."
"AGREEMENT LOCATOR ROLE","Agreement Locator Role Type Cd","N/A (LDM)","Y","","","The code for the type of relation between the account and the locator (i.e., address) such as: - The address in which the contract was/will be signed - The area for which the rates and tariffs for setting up the contract were used - The State or Country of which the laws and regulations will govern the contract - The address where the account statement will be sent"
"AGREEMENT LOCATOR ROLE","Agreement Locator Role Type Desc","N/A (LDM)","","","","The description for the code."
"AGREEMENT MARGIN HISTORY","Agreement Margin Start Dttm","N/A (LDM)","Y","","","The first date that the margin percentage is valid for this Account."
"AGREEMENT MARGIN HISTORY","Agreement Margin End Dttm","N/A (LDM)","","","","The date the margin percentage for this Agreement is no longer valid."
"AGREEMENT MARGIN HISTORY","Agreement Margin Pct","N/A (LDM)","","","","The maximum margin percentage for this Account."
"AGREEMENT MARKET RISK FACTOR","Bank Risk Factor Type Cd","N/A (LDM)","Y","","","A code for the type of influences that can impact a bank's capital position.  These factors are across credit, operational and market risk.   Factors can be categorized as follows:  Market Risk Factors: - Interest rate - Foreign exchange - Equity - Commodity - Credit spread - Swap spread - Vega (volatility)  For an option, it also includes the 'Greek' measures of price sensitivity:  Delta - the degree to which an option's value is affected by a small change in the price of the u"
"AGREEMENT MARKET RISK FACTOR","Investment Agreement Risk Factor Dttm","N/A (LDM)","","","","The date this sensitivity rate was effective for this agreement."
"AGREEMENT MARKET RISK FACTOR","Investment Agreement Risk Factor Dttm","N/A (LDM)","","","",""
"AGREEMENT MARKET RISK FACTOR","Agreement Risk Factor Meas","N/A (LDM)","","","","The rate of the sensitivity for this agreement for this type of sensitivity measurement."
"AGREEMENT MARKET RISK FACTOR","Agreement Risk Factor Rate","N/A (LDM)","","","",""
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Amt","N/A (LDM)","Y","","","The market risk metric for this Agreement, which is an amount."
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Amt","N/A (LDM)","","","",""
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Rate","N/A (LDM)","","","","The market risk metric for this Agreement, which is a rate."
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Rate","N/A (LDM)","","","",""
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Cnt","N/A (LDM)","","","","The market risk metric for this Agreement, which is a count or quantity."
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Cnt","N/A (LDM)","","","",""
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Dttm","N/A (LDM)","","","","The market risk metric for this Agreement, which is a date."
"AGREEMENT MARKET RISK TYPE","Agreement Market Risk Metric Dt","N/A (LDM)","","","",""
"AGREEMENT METRIC","Agreement Metric Time Period Cd","N/A (LDM)","Y","","","A code for a time period such as once, daily, weekly, or monthly.   In this context, this is the time period for this metric such as day, month, quarter, year, or point in time."
"AGREEMENT METRIC","Agreement Metric Amt","N/A (LDM)","","","","This is the metric expressed as a monetary amount."
"AGREEMENT METRIC","Agreement Metric Cnt","N/A (LDM)","","","","This is the metric expressed as a count."
"AGREEMENT METRIC","Agreement Metric Rate","N/A (LDM)","","","","This is the metric expressed as a rate."
"AGREEMENT METRIC","Agreement Currency Metric Amt","N/A (LDM)","","","","The amount for the AGREEMENT METRIC.  In the currency of the agreement."
"AGREEMENT METRIC","Agreement Metric Start Dttm","N/A (LDM)","","","","The date and time when this metric started."
"AGREEMENT METRIC","Agreement Metric End Dttm","N/A (LDM)","","","","The date and time when this metric ended. If the metric is point in time then the start and end date/times will be equal."
"AGREEMENT METRIC","Agreement Metric Qty","N/A (LDM)","","","","The metric expressed as a quantity."
"AGREEMENT METRIC PROJECTION","Risk Metric Type Cd","N/A (LDM)","Y","","","The unique identifier for an account."
"AGREEMENT METRIC PROJECTION","Agreement Metric Projection Start Dttm","N/A (LDM)","","","","The beginning date for the date range this metric represents."
"AGREEMENT METRIC PROJECTION","Agreement Metric Projection End Dttm","N/A (LDM)","","","","The end date for the date range this metric represents.   For point in time metric, this will be the same as the start date/time."
"AGREEMENT METRIC PROJECTION","Agreement Metric Projection Amt","N/A (LDM)","","","","The metric as an amount."
"AGREEMENT METRIC PROJECTION","Agreement Metric Projection Rate","N/A (LDM)","","","","The metric as a rate."
"AGREEMENT METRIC PROJECTION","Agreement Metric Projection Cnt","N/A (LDM)","","","","The metric as a count."
"AGREEMENT METRIC PROJECTION","Agreement Currency Metric Projection Amt","N/A (LDM)","","","","The metric as an amount in the currency of the agreement."
"AGREEMENT METRIC TYPE","Agreement Metric Type Cd","N/A (LDM)","Y","","","A code for the type of account metric.   Examples: - Average cleared balance amount - Average ledger balance amount - Ending ledger balance amount - Ending cleared balance amount - Fee income amount - Total credit count - Total debit count - Collateral balance amount - Reserve loan balance amount - Highest credit balance amount - Lowest debit balance amount - Total interest income amount - Total interest expense amount - Interest balance amount - Tax equivalent gross up amount "
"AGREEMENT METRIC TYPE","Risk Metric Type Cd","N/A (LDM)","","","",""
